编号,名称,初始牌,食用属性,类别,稀有度,商店价,吃分,弃分,角色,联动标签,关键字,效果类型,效果
K004,巨无霸,否,可食用,快餐,稀有,12,4,-2,牺牲,快餐|厌食|大牌,厌食|成长,anorexia,【厌食】 【成长】 吃后自身吃分永久 -2、弃分永久 +2
K005,发馊外卖,否,可食用,快餐,罕见,8,3,-2,经济,快餐|厌食|经济,厌食|成长,anorexia,【厌食】 【成长】 吃后自身吃分永久 -1、弃分永久 +1；弃：获得 2 金币
K006,收费炸鸡桶,否,可食用,快餐,罕见,8,2,-2,成长引擎,快餐|厌食|经济|转化,厌食|成长|经济,bidirectional_anorexia,【厌食】 【成长】 【经济】 弃：获得 1 金币，吃分永久 -2；吃：减少 1 金币，吃分永久 +2
K007,辣鸡翅,否,可食用,快餐,稀有,12,3,-1,成长引擎,快餐|厌食|后置|成长,厌食|后置|成长,anorexia_postpone_drain,【厌食】 【后置】 【成长】 吃后自身吃分永久 -1、弃分永久 +1；若本轮后置：牌堆下一张牌吃分永久 -1，自身吃分永久 +2
K008,三明治,否,可食用,快餐,普通,5,2,-2,成长引擎,快餐|厌食|机制,厌食|机制|成长,double_anorexia,【厌食】 【机制】 【成长】 双倍【厌食】（每次吃后吃分永久 -2、弃分永久 +2）；吃或弃：本轮其他快餐的【厌食】变为双倍
K009,微波便当,否,可食用,快餐,普通,5,2,-1,经济,快餐|计时|经济,经济|机制,early_time_gold,【经济】 【机制】 吃：若在本轮 8 秒内吃下，获得 3 金币
K010,保温灯餐台,否,可食用,快餐,罕见,8,0,0,成长引擎,快餐|厌食|规模,厌食|成长|规模,fast_food_anorexia_or_positive_count,【厌食】 【成长】 【规模】 吃：若牌堆中还有快餐，所有快餐触发一次【厌食】（吃分永久 -1、弃分永久 +1）；弃：额外获得牌堆中吃分与弃分均为正值的牌数量分数
K011,隔夜餐盒,否,可食用,快餐,罕见,8,1,-1,成长引擎,快餐|后置|成长,后置|成长|机制,postpone_mark_all_trade,【后置】 【成长】 【机制】 若本轮后置：将牌堆剩余牌全部标记为已后置；自身吃分永久降低剩余牌数量，弃分永久提高相同数量
K012,打包袋,否,不可食用,快餐,普通,5,-1,1,收割,快餐|厌食|追溯,追溯,bonus_if_degraded_history,【追溯】 弃：若本轮此前处理过吃分低于原值的牌，本牌额外 +3
D001,甜甜圈,是,可食用,甜点,普通,-,2,-1,成长引擎,甜点|留存,留存|成长,retention,【留存】 【成长】 弃：自身吃分永久 +2；10+ 吃下时点数翻倍并摧毁自身
D002,草莓蛋糕,否,可食用,甜点,罕见,8,3,-1,成长引擎,甜点|留存|水果,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +3；若上一张行动牌是水果，再 +2；10+ 吃下时点数翻倍并摧毁自身
D003,焦糖布丁,否,可食用,甜点,普通,5,2,-1,成长引擎,甜点|留存|后置,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +1；本轮曾后置则改为 +3；10+ 吃下时点数翻倍并摧毁自身
D004,冰淇淋,否,可食用,甜点,罕见,8,1,-1,牺牲,甜点|留存|大幅成长,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +4（最高 12）；10+ 吃下时点数翻倍并摧毁自身
D005,糖果,否,可食用,甜点,普通,5,1,-1,经济,甜点|留存|经济,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +2；8+ 吃下时点数翻倍、获得 3 金币并摧毁自身
D006,婚礼蛋糕,否,可食用,甜点,传奇,18,2,-2,收割,甜点|留存|爆发,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +5；12+ 吃下时本次得分 ×3，并摧毁自身
D007,夹心饼干,否,可食用,甜点,稀有,12,2,-1,经济,甜点|留存|商店,留存|成长,retention,【留存】 【成长】 弃：吃分永久 +2；10+ 吃下时点数翻倍、随后商店卡价 -3，并摧毁自身
D008,融化圣代,否,可食用,甜点,罕见,8,2,-1,牺牲,甜点|后置|摧毁|成长,后置|摧毁|成长|相邻,postpone_destroy_buff_next,【后置】 【摧毁】 【成长】 【相邻】 若本轮后置：摧毁自身，牌堆下一张牌吃分永久 +2
D009,裱花袋,否,可食用,甜点,罕见,8,1,-1,启动,甜点|后置|成长,后置|成长|预判,postpone_match_highest_eat,【后置】 【成长】 【预判】 若本轮后置：自身吃分永久变为牌堆剩余牌中最高的吃分
D010,展示蛋糕,否,可食用,甜点,稀有,12,1,-2,收割,甜点|牌堆|规模,规模|预判,scale_by_pile_type,【规模】 【预判】 吃：牌堆中每有 1 张甜点，额外 +1（最多 +6）
D011,幸运饼干,否,可食用,甜点,罕见,8,1,-1,收割,甜点|预判,预判,forecast_tail_edibility,【预判】 吃：若牌堆最后一张牌可食用，额外 +3
B001,清水,否,可食用,饮料,普通,5,1,-1,启动,饮料|摧毁|净化,摧毁,drink_consume,【摧毁】 吃后摧毁自身；只将牌组中低于原值的红色点数恢复，绿色成长保留
B002,汽水,否,可食用,饮料,普通,5,1,-1,启动,饮料|摧毁|快餐,摧毁,drink_consume,【摧毁】 吃后摧毁自身；下一张快餐吃牌得分 ×2，不符合条件的牌不会消除蓄势
B003,黑咖啡,否,可食用,饮料,罕见,8,1,-1,启动,饮料|摧毁|蓄势,摧毁,drink_consume,【摧毁】 吃后摧毁自身；下一张牌额外 +4 分
B004,鲜榨果汁,否,可食用,饮料,罕见,8,1,-1,成长引擎,饮料|摧毁|水果|生成|弱化,摧毁,drink_consume,【摧毁】 吃后摧毁自身，并随机生成 1 张【弱化】水果
B005,能量饮料,否,可食用,饮料,稀有,12,1,-1,成长引擎,饮料|摧毁|重洗,摧毁,drink_consume,【摧毁】 吃后摧毁自身，本轮自动重洗次数 +1
B006,牛奶,否,可食用,饮料,普通,5,1,-1,启动,饮料|摧毁|甜点,摧毁,drink_consume,【摧毁】 吃后摧毁自身；下一张甜点得分 ×2，不符合条件的牌不会消除蓄势
B007,押金瓶,否,不可食用,饮料,普通,5,0,0,经济,饮料|后置|经济|成长,后置|成长|经济,postpone_decay_gold,【后置】 【成长】 【经济】 若本轮后置：自身吃分与弃分永久各 -1，获得 2 金币
B008,苦味补剂,否,可食用,饮料,罕见,8,1,-2,启动,饮料|硬吃|蓄势|摧毁,硬吃|蓄势|摧毁,wrong_edibility_setup_destroy,【硬吃】 【蓄势】 【摧毁】 错误食性弃掉后摧毁自身；下一次错误食性处理额外 +4 分
B009,药草茶,否,可食用,饮料,罕见,8,1,-1,启动,饮料|水果|机制|摧毁,水果连击|摧毁|机制,fruit_combo_unbreakable,【水果连击】 【摧毁】 【机制】 吃后摧毁自身；本轮水果连击不会中断
B010,续杯马克杯,否,可食用,饮料,罕见,8,1,-1,成长引擎,饮料|储存|成长,储存,store_charges,【储存】 吃：储存 1 层（最多 3，跨轮保留）；弃：每层额外 +2，然后清空储存
B011,浓缩咖啡,否,可食用,饮料,普通,5,1,-1,经济,饮料|计时|经济|摧毁,摧毁|经济|机制,slow_finish_gold_destroy,【摧毁】 【经济】 【机制】 吃后摧毁自身；若本轮超过 20 秒完成则获得 1 金币，超过 30 秒则改为 2 金币
B012,珍珠奶茶,否,可食用,饮料,稀有,12,1,-1,成长引擎,饮料|甜点|复制|生成|弱化|摧毁,复制|生成|弱化|摧毁|预判,copy_pile_dessert_destroy,【复制】 【生成】 【弱化】 【摧毁】 【预判】 吃：若牌堆中有甜点，摧毁自身并生成其中 1 张相同牌面数值的无效果【弱化】复制牌，下轮进入牌组；无甜点则不摧毁
A001,橘猫,是,不可食用,动物,普通,-,-1,2,基础,动物|基础,-,-,无额外效果
A002,贪吃狗,否,不可食用,动物,普通,5,-2,2,成长引擎,动物|吞食|可食用,摧毁|成长|相邻,consume_previous_card,【摧毁】 【成长】 【相邻】 弃：摧毁上一张可食用牌，自身弃分永久成长 1～2
A003,疲惫猴子,否,不可食用,动物,罕见,8,-2,3,成长引擎,动物|生成|水果|弱化|衰减,生成|成长|摧毁|弱化,generate_by_decay,【生成】 【成长】 【摧毁】 【弱化】 每轮首次弃：生成 1 张【弱化】香蕉，自身弃分永久 -1；降到 0 时摧毁自身
A004,兔子,是,不可食用,动物,普通,-,-1,1,收割,动物|兔子|规模,规模,scale_by_deck,【规模】 弃：牌组中每有 1 张兔子，额外 +1（最多 +12）
A005,饕餮,否,不可食用,动物,传奇,18,-3,3,成长引擎,动物|吞食|成长,摧毁|成长|相邻,consume_next_card,【摧毁】 【成长】 【相邻】 弃：摧毁牌堆中下一张牌，自身弃分按其较高绝对牌面永久成长 1～4
A006,蜕皮蛇,否,不可食用,动物,稀有,12,-2,2,成长引擎,动物|转移|成长,成长|预判,drain_pile_edible_to_self,【成长】 【预判】 弃：牌堆中所有可食用牌吃分永久 -1，自身弃分永久 +2
A007,狐狸,否,不可食用,动物,罕见,8,-2,2,成长引擎,动物|生成|水果|弱化,生成,generate_random,【生成】 每轮首次弃：随机生成 1 张【弱化】水果
A008,乌龟,是,不可食用,动物,普通,-,-1,2,收割,动物|后置|硬吃,后置|成长|硬吃,postpone_penalty_comeback,【后置】 【成长】 【硬吃】 若本轮后置：自身弃分永久 -1；弃：若本次因弃置此牌得到 -5 分或更低，额外 +20
A009,理毛猫,否,不可食用,动物,普通,5,-1,2,经济,动物|摧毁|商店,摧毁|经济,destroy_self_raise_rarity,【摧毁】 【经济】 弃置后摧毁自身；商店出现稀有牌的概率永久提高
A010,牧羊犬,否,不可食用,动物,稀有,12,-2,2,启动,动物|后置|成长,后置|成长|预判,postpone_buff_animal,【后置】 【成长】 【预判】 若本轮后置且牌堆中有动物：随机 1 张动物弃分永久 +1，并标记为已后置
A011,喜鹊,否,不可食用,动物,罕见,8,-1,1,经济,动物|经济|刷新,经济,discard_pay_for_reroll,【经济】 弃：减少 1 金币；随后的商店获得 1 次免费刷新
A012,松露猪,否,不可食用,动物,稀有,12,-2,2,经济,动物|商店|经济|规模,经济|规模,force_weakest_shop_type,【经济】 【规模】 每轮首次弃：下一间商店的同类货架强制为当前牌组持有张数最少的类别；并列时随机
C001,星星,否,不可食用,星体,普通,5,-2,2,成长引擎,星体|生成|弱化|机制,生成,generate_random,【生成】 每轮首次弃：随机生成 1 张【弱化】卡牌
C002,月亮,否,不可食用,星体,罕见,8,-2,2,成长引擎,星体|机制|牌面互换,机制,swap_remaining_sides,【机制】 弃：剩余餐盘所有卡牌的吃点与弃点互换，仅持续本轮
C003,太阳,否,不可食用,星体,稀有,12,-2,2,成长引擎,星体|重洗|摧毁,重洗|摧毁,celestial_sun,【重洗】 【摧毁】 弃后摧毁自身，本轮自动重洗次数 +1
C004,彗星,否,不可食用,星体,普通,5,-2,2,成长引擎,星体|后置|成长,后置|成长|机制,postpone_mark_all_growth,【后置】 【成长】 【机制】 若本轮后置：将牌堆剩余牌全部标记为已后置，自身弃分永久 +1
C005,陨石,否,不可食用,星体,稀有,12,-3,4,收割,星体|清场|机制,追溯,discard_all_remaining,【追溯】 弃：立即弃掉并结算餐盘中所有剩余牌
C006,冥王星,否,不可食用,星体,传奇,18,-2,2,经济,星体|计时|机制,机制,pause_timer,【机制】 弃：暂停本轮计时直到结束；仍可获得 12 秒与 8 秒奖励
C007,黑洞胃,否,不可食用,星体,稀有,12,-3,2,收割,星体|硬吃|爆发,硬吃|追溯,wrong_history_scale,【硬吃】 【追溯】 错误食性吃：本轮此前每次错误食性处理使本牌额外 +2 分
C008,引力井,否,不可食用,星体,罕见,8,-2,-10,牺牲,星体|摧毁|目标|机制,摧毁|机制,delay_milestone_destroy,【摧毁】 【机制】 弃置后摧毁自身；将下一次目标分数结算延后 1 轮
C009,潮汐月,否,不可食用,星体,罕见,8,-2,2,启动,星体|后置|成长,后置|蓄势,buff_marked_remaining,【后置】 【蓄势】 弃：牌堆中所有已后置牌本轮吃分与弃分额外 +2
C010,超新星,否,不可食用,星体,传奇,18,-4,3,牺牲,星体|摧毁|后置,后置|摧毁,destroy_marked_remaining,【后置】 【摧毁】 弃：摧毁牌堆中 1 张已后置牌
C011,星云,否,不可食用,星体,罕见,8,-2,1,收割,星体|后置|机制|追溯,后置|机制|追溯,postpone_nebula,【后置】 【机制】 【追溯】 若本轮后置：剩余牌全部标记为已后置且牌背向上；此后每处理 1 张牌，本牌结算时额外 +1
P001,水果商人,否,不可食用,人物,普通,5,-2,2,经济,人物|水果|经济,经济|追溯,gold_from_history,【经济】 【追溯】 每轮首次弃：本轮此前每吃 1 张水果，结算金币 +1（最多 +8）
P002,债务经纪人,否,不可食用,人物,罕见,8,-2,-3,经济,人物|经济|牺牲,经济,discard_for_gold,【经济】 每轮首次弃：承受 -3 分，立即获得 3 金币
P003,动物管理员,否,不可食用,人物,罕见,8,-2,2,收割,人物|动物|追溯,追溯,scale_by_history,【追溯】 弃：本轮此前每弃 1 张动物，额外 +2（最多 +8）
P004,天文学家,否,不可食用,人物,稀有,12,-2,2,成长引擎,人物|星体|生成|弱化,生成,generate_random,【生成】 每轮首次弃：随机生成 1 张【弱化】星体
P005,魔术师,否,不可食用,人物,稀有,12,-2,2,成长引擎,人物|动物|兔子|生成|弱化,生成,generate_card,【生成】 每轮首次弃：生成 1 张【弱化】兔子
P006,美食挑战者,否,不可食用,人物,罕见,8,-2,2,成长引擎,人物|硬吃|连击,硬吃|追溯,wrong_edibility_streak,【硬吃】 【追溯】 错误食性吃：本轮连续错误食性次数 ×2 分（最多 +8）；正确食性会中断连击
P007,送餐员,否,不可食用,人物,普通,5,-1,1,成长引擎,人物|后置|生成|弱化,后置|成长|生成|弱化,postpone_generate_edible,【后置】 【成长】 【生成】 【弱化】 若本轮后置：自身弃分永久 -1，随机生成 1 张可食用【弱化】牌
P008,拍卖师,否,不可食用,人物,稀有,12,-2,2,收割,人物|规模,规模,scale_by_unique_deck_types,【规模】 弃：牌库中每有 1 种不同类别，额外 +1（最多 +5）
P009,策展人,否,不可食用,人物,罕见,8,-2,2,收割,人物|牌堆|规模,规模|预判,scale_by_pile_unique_types,【规模】 【预判】 弃：牌堆剩余牌每有 1 种不同类别，额外 +1（最多 +5）
P010,美食评论家,否,不可食用,人物,罕见,8,-2,2,启动,人物|硬吃|蓄势|经济,硬吃|蓄势|经济,prime_review,【硬吃】 【蓄势】 【经济】 弃：判定下一次出牌；错误食性则本牌弃分永久 -1 且获得 2 金币，正确食性则那张牌额外 +3
U001,净化器,否,不可食用,通用,普通,5,-2,2,启动,通用|净化,净化,purify_deck,【净化】 弃：只将整副牌组中低于原值的红色点数恢复；绿色成长保留
U002,榨分机,否,不可食用,通用,稀有,12,-2,2,成长引擎,通用|转移|成长|水果,成长|规模,drain_type_to_self,【成长】 【规模】 每轮首次弃：每张水果吃分永久 -1；实际降低几点，自身弃分就永久增加几点
U003,打折券,否,不可食用,通用,普通,5,-2,2,经济,通用|经济|商店,经济,shop_discount,【经济】 每轮首次弃：随后商店所有卡牌价格 -1（最低 1）
U004,铁胃徽章,否,不可食用,通用,普通,5,-1,2,启动,通用|后置|硬吃,后置|硬吃|机制,postpone_mark_all_wrong_eat,【后置】 【硬吃】 【机制】 若本轮后置：将牌堆剩余牌全部标记为已后置；本轮此后每次错误食性吃下额外 +3
U005,理牌托盘,否,不可食用,通用,罕见,8,-1,1,启动,通用|后置|蓄势,后置|蓄势,buff_two_marked,【后置】 【蓄势】 弃：牌堆中两张已后置牌结算时额外 +1
U006,修理工具箱,否,不可食用,通用,罕见,8,-1,1,经济,通用|商店|经济,经济,force_shop_price_four,【经济】 每轮首次弃：随后商店最贵的卡牌价格降为 4；刷新后失效
U007,预购券,否,不可食用,通用,罕见,8,-1,-1,经济,通用|经济|摧毁,摧毁|经济,eat_reroll_or_discard_delete,【摧毁】 【经济】 吃：获得 1 次免费刷新；弃：摧毁自身，获得 1 次免费卡牌删除
U008,覆膜机,否,不可食用,通用,稀有,12,-2,1,启动,通用|后置|机制,后置|机制,mark_all_protect_decrease,【后置】 【机制】 弃：将牌堆剩余牌全部标记为已后置；本轮这些牌的牌面点数不会减少，增加仍会生效
